project_id,contract_value_pln,change_orders_pln,total_contract_pln,budget_total_cost_pln,planned_margin_pct
P063,136270713.42949528,19045348.298871603,155316061.72836688,124205602.2888519,0.0885378144503933
P064,249531782.4204812,11807681.064070355,261339463.48455155,234725429.8926177,0.0593365397555394
P049,226165526.1821085,5340472.932213874,231505999.1143224,217146633.5444429,0.0398773977180035
P057,350000000.0,61604380.43211154,411604380.4321116,330045493.4115712,0.0570128759669395
P028,288035307.65430665,12489496.458502367,300524804.112809,247049048.4911944,0.1422959549539081
P047,148937526.02770236,-2978750.520554047,145958775.50714833,132405150.75432868,0.1110020806327793
P016,63270097.0022933,4569406.445826716,67839503.44812001,57296423.20424715,0.094415436060255
P037,284407227.2444524,30795494.298617817,315202721.54307026,258394952.8305073,0.0914613691992684
P004,79819908.4385649,9188284.029503295,89008192.4680682,70468064.07284409,0.1171618027214183
P025,148066690.83415425,14649754.46838936,162716445.3025436,136220019.97628906,0.080009020199785
P020,251762885.4823679,-5035257.709647358,246727627.7727205,231859544.07522345,0.0790558996375118
P009,126733700.9717646,8969678.00804871,135703378.9798133,111604015.3906643,0.1193817071946087
P013,138017953.99564415,3994492.180526396,142012446.17617056,118837573.30233563,0.138970185675364
P032,164070872.3278856,12930373.808261445,177001246.13614705,155182277.61867023,0.0541753364451677
P059,350000000.0,12258738.814863136,362258738.8148632,321238584.2804164,0.0821754734845244
P050,199406690.28676,-1837787.9310783595,197568902.35568163,174146963.14556378,0.1266744215295437
P065,143140002.23918763,-2862800.0447837524,140277202.1944039,122469395.78439108,0.1444083144574488
P002,170578617.9006756,4452356.069105705,175030973.9697813,157967382.01855654,0.0739321026124289
P026,29979106.0621247,3343017.52609418,33322123.58821888,27813629.41786527,0.0722328624399936
P001,200192485.98732623,14215424.086563084,214407910.0738893,186148108.64783028,0.070154368033499
P033,139701827.44256702,3038482.301800318,142740309.74436733,130585396.24486692,0.0652563489296371
P019,143011414.05437672,-72334.07704888511,142939079.97732782,127669286.95279229,0.1072790392503283
P034,77350674.16110873,1522927.142898245,78873601.30400698,66434896.663874455,0.1411206510559753
P060,272461493.45776755,18922776.540525194,291384269.99829274,235265133.20829096,0.1365196959666602
P018,216277941.2565487,19196977.65104971,235474918.9075984,201429838.0564308,0.0686528783927398
