snapshot_month_key,month_key,project_id,forecast_eac_cost,forecast_cash_in,forecast_cash_out
202709,202711,P020,232381264.4854985,359002.1775749496,422126.4641777532
202710,202711,P020,237658367.0347378,419374.8570404103,596089.8853653132
202702,202703,P019,124402378.62199083,2064079.1986775235,3349931.879133808
202702,202704,P019,124402378.62199083,2058953.6028580775,517350.2157682131
202702,202705,P019,124402378.62199083,524539.1411491267,813189.992693812
202702,202706,P019,124402378.62199083,530459.5063367203,455951.9228024241
202702,202707,P019,124402378.62199083,518594.4923416833,785846.9437586248
202702,202708,P019,124402378.62199083,553637.7811267701,361432.9912539365
202703,202704,P019,124392447.58936629,505279.6998944395,121151.45016208477
202703,202705,P019,124392447.58936629,105349.17482481057,89142.63872151767
202703,202706,P019,124392447.58936629,116096.05536334122,190439.89808910518
202703,202707,P019,124392447.58936629,106916.83525512807,99872.4524554944
202703,202708,P019,124392447.58936629,95513.39719793409,130318.33888347648
202703,202709,P019,124392447.58936629,101480.07902832807,133288.69710953333
202704,202705,P019,127734904.69605814,318912.64811508293,494976.5888577944
202704,202706,P019,127734904.69605814,358519.4841355208,506060.8715254634
202704,202707,P019,127734904.69605814,274619.1663804408,227193.3918892311
202704,202708,P019,127734904.69605814,308997.2866219825,196483.76587649522
202704,202709,P019,127734904.69605814,322252.9736960605,430958.5820501492
202704,202710,P019,127734904.69605814,287654.25314341893,469622.68897572113
202705,202706,P019,127415576.99857739,279860.2454528215,288896.939258253
202705,202707,P019,127415576.99857739,243414.0851901928,301612.0589833569
202705,202708,P019,127415576.99857739,333815.7190353668,444578.9958478066
202705,202709,P019,127415576.99857739,298301.3631383744,435057.1241057821
202705,202710,P019,127415576.99857739,294251.3262801046,426568.36788356525
202705,202711,P019,127415576.99857739,376556.75249276205,364842.42579485534
202706,202707,P019,126142744.11162941,298940.45649428625,357046.24244602467
202706,202708,P019,126142744.11162941,315154.91628284345,352755.63961565966
202706,202709,P019,126142744.11162941,296201.4582891089,340421.1229934529
202706,202710,P019,126142744.11162941,319110.28036258015,495622.76375468343
202706,202711,P019,126142744.11162941,296166.8891336391,233730.20113351571
202707,202708,P019,130759260.75016993,314650.72643542994,184884.40738143897
202707,202709,P019,130759260.75016993,346700.3995813014,237531.20687502858
202707,202710,P019,130759260.75016993,288536.5081652976,228275.67365636953
202707,202711,P019,130759260.75016993,262423.40146833926,198464.17990129523
202708,202709,P019,128818277.38154554,281959.62951768184,221642.49170286205
202708,202710,P019,128818277.38154554,329540.2302600413,425493.1413535108
202708,202711,P019,128818277.38154554,342723.2478929199,495715.94401240506
202709,202710,P019,127995616.1537717,325723.3549077932,473757.4163027532
202709,202711,P019,127995616.1537717,323480.5505609834,357093.09739514213
202710,202711,P019,126207583.28141174,277243.83570929867,497866.51327110163
202702,202703,P060,228157844.57040602,6454619.2024549125,2258527.119636439
202702,202704,P060,228157844.57040602,6205161.09316946,2591152.1035808
202702,202705,P060,228157844.57040602,7925415.76045517,2512238.447859985
202702,202706,P060,228157844.57040602,7302991.996171927,1485031.7763518821
202702,202707,P060,228157844.57040602,5954644.128245609,1781020.512040567
202702,202708,P060,228157844.57040602,6212615.848383118,2136020.250464656
202703,202704,P060,222938122.86379066,7746253.189314947,3692270.7544056904
202703,202705,P060,222938122.86379066,8530486.018334182,3411305.3162380913
202703,202706,P060,222938122.86379066,9111662.725781376,1437475.4523604733
202703,202707,P060,222938122.86379066,8736450.179218678,1616008.219530416
202703,202708,P060,222938122.86379066,8627458.635214351,2374693.8332815995
202703,202709,P060,222938122.86379066,10085193.108385378,2305862.310288871
202704,202705,P060,226571569.05174443,7506344.069133487,1641402.2978229218
202704,202706,P060,226571569.05174443,7623981.584672349,1268033.0459958327
202704,202707,P060,226571569.05174443,7898892.614861034,2155936.9766688477
202704,202708,P060,226571569.05174443,8222177.137670887,2495833.549087381
202704,202709,P060,226571569.05174443,6839126.523901926,2770762.5968121015
202704,202710,P060,226571569.05174443,6127110.431625931,2404499.438505158
202705,202706,P060,223739677.0247341,9381148.84336687,2568758.00932295
202705,202707,P060,223739677.0247341,10110426.401006887,1879510.6098696913
202705,202708,P060,223739677.0247341,8959087.158892876,2570387.972940874
202705,202709,P060,223739677.0247341,10037696.34314851,2392732.167014707
202705,202710,P060,223739677.0247341,8784866.686799033,2277033.50337894
202705,202711,P060,223739677.0247341,7922556.0508764265,4682079.561898966
202706,202707,P060,229386313.78077558,5178603.285793431,734518.9123747471
202706,202708,P060,229386313.78077558,5187508.551163406,996650.7587579931
202706,202709,P060,229386313.78077558,4854928.17873168,947048.8040131499
202706,202710,P060,229386313.78077558,4114301.98135,1314010.0407106848
202706,202711,P060,229386313.78077558,4228618.89515153,1791375.4642866906
202707,202708,P060,231029676.38801727,5015095.899081341,2106392.1938978084
202707,202709,P060,231029676.38801727,6082150.213559559,1887550.844857164
202707,202710,P060,231029676.38801727,5362430.168304527,1942488.158519114
202707,202711,P060,231029676.38801727,5799773.7189286,2620536.379046045
202708,202709,P060,242556126.48991117,1588963.3522154186,446336.14115089434
202708,202710,P060,242556126.48991117,2229345.8858827623,731400.4855615805
202708,202711,P060,242556126.48991117,2053524.6074911428,787873.6815185479
202709,202710,P060,241148602.1131527,1808200.528467773,453688.2338530689
202709,202711,P060,241148602.1131527,1978796.1760039893,952181.3122006583
202710,202711,P060,239507398.638291,1885566.4511206073,1089158.1080250847
202702,202703,P018,200416703.26824307,3519921.49831651,1790967.0901519808
202702,202704,P018,200416703.26824307,4128659.287744368,862586.3977100534
202702,202705,P018,200416703.26824307,3846254.5519039943,1195630.9097492879
202702,202706,P018,200416703.26824307,968711.2061866445,809164.5303525412
202702,202707,P018,200416703.26824307,1170549.776751935,2674079.9857203607
202702,202708,P018,200416703.26824307,1043161.9852203185,1282644.1819500576
202703,202704,P018,199036810.92725754,3506672.3531216895,612616.2855531401
202703,202705,P018,199036810.92725754,2744100.472961061,1585865.9663313476
202703,202706,P018,199036810.92725754,718418.9076199012,1025670.1521629088
202703,202707,P018,199036810.92725754,725096.6131866135,2617575.3037093207
202703,202708,P018,199036810.92725754,863998.1622629041,1040010.8634298183
202703,202709,P018,199036810.92725754,743829.9746459471,565099.3947717602
202704,202705,P018,208132338.5691514,2953580.0703966506,1265575.7569333003
202704,202706,P018,208132338.5691514,712987.7624406817,1098180.3717858316
202704,202707,P018,208132338.5691514,755984.7685496496,1853311.6660734857
202704,202708,P018,208132338.5691514,684206.8703411326,1276178.9396280276
202704,202709,P018,208132338.5691514,653837.9009532825,939866.7232217066
202704,202710,P018,208132338.5691514,713912.5097571593,524372.4890782067
202705,202706,P018,205561580.25582123,723360.6540402598,1315817.9789642934
202705,202707,P018,205561580.25582123,615440.3772965341,2263809.7821027576
202705,202708,P018,205561580.25582123,748241.2408833157,1065063.5191977085
202705,202709,P018,205561580.25582123,732517.7461737364,1173442.1307271838
202705,202710,P018,205561580.25582123,622383.6737436528,1945228.4594141548
202705,202711,P018,205561580.25582123,850162.9291220583,1499103.9969255424
202706,202707,P018,209093238.8500696,788930.4498972917,2943575.771762362
202706,202708,P018,209093238.8500696,828070.9007312295,1073192.267631509
202706,202709,P018,209093238.8500696,654050.1438456438,2291389.384711916
202706,202710,P018,209093238.8500696,713801.2417436471,1259699.3079227756
202706,202711,P018,209093238.8500696,669852.9071904639,1863230.5712910949
202707,202708,P018,208386578.24453375,742688.1305463375,1297183.1364438955
202707,202709,P018,208386578.24453375,736601.7921946342,2005718.800516654
202707,202710,P018,208386578.24453375,801870.1869638454,1452582.2158218436
202707,202711,P018,208386578.24453375,801181.3027794589,2078315.0151210611
202708,202709,P018,204582243.89392635,765314.3362702394,849411.0325320706
202708,202710,P018,204582243.89392635,802520.5377202304,972663.2351518167
202708,202711,P018,204582243.89392635,822519.6750550097,1584592.2573361734
202709,202710,P018,205946006.3584561,758818.4030083745,2123712.3730142955
202709,202711,P018,205946006.3584561,677674.6898529077,1771448.9385992156
202710,202711,P018,201328999.09787637,693502.3403294195,2367702.0209768903
