po_id,project_id,vendor_key,po_issue_month_key,expected_payment_month_key,status,committed_amount,invoiced_amount,paid_amount,retainage_pct
PO100100,P008,11,202309,202401,Partially Invoiced,22845023.38213236,11561125.29376555,10103047.384324681,0.07263044283304783
PO100101,P008,2,202405,202408,Closed,2038547.2457568585,2037992.4121334678,1840588.6600869696,0.05813492569838902
PO100102,P008,3,202404,202407,Open,3398735.3766141417,194541.88276436768,88012.93669046053,0.044946581163831115
PO100103,P039,1,202310,202312,Partially Invoiced,52251252.448151104,20965869.527144313,17196480.193422504,0.0
PO100104,P039,10,202306,202306,Open,29284947.68357115,2376363.9741824926,39190.392196872475,0.0
PO100105,P039,2,202312,202401,Partially Invoiced,15045791.864271274,8058725.720163723,5658769.461336655,0.0
PO100106,P039,12,202304,202304,Open,17974968.363049734,663289.4021497112,308980.8590470821,0.0
PO100107,P039,9,202305,202307,Open,62274064.261995584,1365007.36160077,171079.11938067336,0.0
PO100108,P039,9,202305,202307,Open,6417137.946157315,1535172.9499553116,235323.29252407784,0.0
PO100109,P043,2,202407,202411,Closed,13548867.885442354,12820878.233903315,11766893.249441423,0.0
PO100110,P043,11,202410,202501,Partially Invoiced,1860003.5687529298,698385.0089616602,554969.5524834787,0.0
PO100111,P043,9,202312,202401,Open,2601431.9896467244,202145.9287460669,94408.33641489838,0.0
PO100112,P043,6,202403,202405,Open,4487797.054822952,1106070.3150989842,536843.042905713,0.0
PO100113,P043,6,202304,202304,Open,4054935.35363047,249979.7933897631,67078.63265800786,0.0
PO100114,P043,6,202405,202408,Partially Invoiced,13821672.454044148,9623834.703811375,7042590.595753915,0.0
PO100115,P043,4,202312,202401,Closed,3629803.5618166076,3294892.0453573465,3268544.139303745,0.07932741657704537
PO100116,P043,7,202312,202404,Partially Invoiced,8492417.115694545,3364749.4892340456,3325880.307038235,0.0
PO100117,P043,12,202312,202312,Closed,4011419.8949145717,3759773.3744132654,2731963.721988508,0.0
PO100118,P043,2,202312,202312,Closed,2643653.1621650355,2623451.141020707,2089793.0738103807,0.0
PO100119,P043,6,202407,202409,Partially Invoiced,5107017.226950551,1948636.0899668254,1392105.9386428737,0.0
PO100120,P027,10,202310,202310,Open,35929234.11017682,4586219.22256072,1159995.522928492,0.0
PO100121,P027,5,202306,202306,Partially Invoiced,16618298.621036565,5313009.071227591,4194360.929164752,0.0
PO100122,P027,9,202211,202211,Closed,9586102.231222944,9432010.367750103,7330471.160718445,0.0
PO100123,P027,6,202311,202312,Open,20743279.549584817,4686353.972580059,1908779.379976963,0.0
PO100124,P027,5,202211,202212,Partially Invoiced,6928491.117542374,2341141.1700223717,2274345.995354198,0.0
PO100125,P027,1,202310,202402,Closed,4233721.005302815,3811991.661247235,2952309.756018249,0.0
PO100126,P027,13,202401,202401,Partially Invoiced,5219601.4816930145,2752469.868372951,2440328.4849935817,0.0
PO100127,P027,9,202210,202302,Closed,37347963.66083098,35312848.44290375,25234293.883741394,0.0
PO100128,P058,1,202404,202406,Partially Invoiced,7076862.594714225,2684579.534870754,2424023.06765485,0.0
PO100129,P058,1,202302,202302,Open,7852370.0547074955,110496.8575264974,33818.30280254656,0.0
PO100130,P058,6,202305,202308,Closed,3696095.5255704923,3692157.892395017,2802602.498277647,0.0
PO100131,P058,4,202307,202307,Partially Invoiced,2204075.293902208,793926.6718211821,740607.7613808288,0.06589595533591473
PO100132,P058,12,202502,202503,Closed,6414072.557291154,6510404.532100123,6195331.683429786,0.0
PO100133,P058,13,202212,202301,Open,6022954.355720411,94179.91803143307,26849.995809064167,0.0
PO100134,P058,2,202301,202305,Closed,5514610.81737426,5153790.703904785,4609850.299735005,0.07055250153256448
PO100135,P058,6,202304,202304,Partially Invoiced,5294972.917392139,4261251.026671551,3364046.836309472,0.0
PO100136,P058,7,202502,202504,Closed,13828686.155376613,13069222.505498743,12444732.666063106,0.0
PO100137,P058,11,202212,202303,Partially Invoiced,26931984.943350706,18747777.43327699,16777874.876703728,0.04425357942427358
PO100138,P058,6,202405,202405,Closed,6312297.604090016,6002061.020180193,4217582.615171321,0.0
PO100139,P058,10,202310,202312,Partially Invoiced,11180591.97308694,4272810.37307232,4265921.090002803,0.0
PO100140,P058,10,202311,202403,Partially Invoiced,12447035.618458096,7570909.071331836,6168619.871041384,0.0
PO100141,P058,9,202306,202308,Partially Invoiced,12181472.292586798,4949029.869695094,3676194.6416340633,0.0
PO100142,P046,10,202406,202407,Closed,23136592.9629079,22618879.779480543,22442707.683099106,0.0
PO100143,P046,4,202405,202405,Open,14802765.809434578,833307.6438349221,192583.14672259998,0.0
PO100144,P046,13,202408,202410,Open,33329333.014179073,6572260.558548791,2032587.1179652251,0.0
PO100145,P046,4,202312,202402,Closed,32152825.87989264,31271085.09307774,29930750.520114,0.0
PO100146,P046,12,202402,202403,Partially Invoiced,10499669.04247498,3246142.5498845414,2394004.425245104,0.0
PO100147,P046,9,202311,202401,Partially Invoiced,3577569.847348817,1669278.6386072612,1293103.874106758,0.0
PO100148,P046,1,202302,202306,Closed,11512223.779314658,10979970.643109983,8073861.276683768,0.0
PO100149,P046,13,202401,202402,Partially Invoiced,12979502.310531342,8125206.540945647,7977119.699740833,0.0
PO100150,P046,13,202409,202501,Open,19998772.480030492,3219297.2776129725,752904.7296159654,0.0
PO100151,P046,8,202407,202411,Closed,4285254.492845125,4096405.9452266004,2995505.704507318,0.0
PO100152,P046,6,202403,202404,Closed,10489233.238287095,9983291.535509912,7234663.642620005,0.0
PO100153,P046,1,202312,202403,Closed,21606870.34470657,19465583.271120142,17741088.810814753,0.0
PO100154,P046,4,202311,202403,Closed,7314043.0446587745,7398054.48994362,5920584.695648386,0.0
PO100155,P046,11,202402,202406,Open,2460226.7342591425,551206.417757915,26915.89263093306,0.0546023463496836
PO100156,P046,11,202309,202312,Closed,1621808.8688469362,1614567.9417659077,1343040.7566795486,0.0
PO100157,P046,8,202408,202412,Open,17523101.070201285,4047660.0760175954,1273511.8496717,0.0
PO100158,P046,7,202306,202310,Open,6137102.231029611,1364923.3825966048,651815.5554879725,0.0
PO100159,P046,8,202409,202411,Closed,11287404.467653941,11009587.078237511,7907254.198086013,0.0
PO100160,P035,9,202303,202307,Partially Invoiced,10426737.738927832,3699246.513281526,2901138.0467565698,0.0
PO100161,P035,7,202309,202311,Partially Invoiced,8510279.665911617,6125167.441995171,5486394.162007447,0.0
PO100162,P035,13,202309,202401,Partially Invoiced,79666799.9187548,44002948.674999915,36110912.90609325,0.0
PO100163,P035,1,202312,202403,Partially Invoiced,16406650.742002616,12070385.574723445,9406296.785225749,0.0
PO100164,P035,12,202403,202406,Partially Invoiced,23804035.709092088,9827007.399107592,9160849.152629195,0.0
PO100165,P035,14,202409,202409,Partially Invoiced,21286486.850238908,13293524.75335313,10310511.39412483,0.03593777853269335
PO100166,P035,2,202406,202410,Closed,12329151.090347195,11407335.029034916,10084585.009080913,0.04981437101139902
PO100167,P045,9,202212,202302,Closed,14333527.916827975,13869818.84203222,11612518.156832641,0.0
PO100168,P045,6,202311,202402,Closed,36970695.48799245,35563127.995641015,27101490.264454536,0.0
PO100169,P045,4,202310,202310,Closed,53955935.92952693,50328606.99223304,47501247.26919285,0.0
PO100170,P045,3,202304,202308,Open,29280216.305138525,6280712.932356725,2154622.2573416475,0.0
PO100171,P045,11,202308,202309,Open,69854999.9266163,9167395.928491151,3204295.5965401097,0.05091495379724801
PO100172,P045,7,202301,202304,Closed,58546073.898584895,58206489.66506928,49328096.02322659,0.0
PO100173,P045,6,202309,202311,Open,13663087.461723408,1082277.4977808823,74461.98570301104,0.0
PO100174,P006,7,202402,202402,Closed,15503344.252884898,15119026.705914674,12461039.127231162,0.0
PO100175,P006,5,202303,202306,Closed,2521728.7304740166,2486443.2749184035,2469361.5246647024,0.0
PO100176,P006,13,202306,202307,Partially Invoiced,8990539.334543193,7015760.6375628,6656330.715209494,0.06972087092625906
PO100177,P006,14,202312,202404,Partially Invoiced,8618021.869215887,4858121.028489223,4525928.583482769,0.0
PO100178,P006,3,202303,202307,Closed,27871968.259227376,26924511.87992862,26118748.373653095,0.051620427566505755
PO100179,P006,3,202303,202306,Partially Invoiced,15589044.925228994,11854094.184669824,10923070.668783644,0.06884045646667375
PO100180,P006,5,202310,202402,Open,11927667.28551322,2772239.6123856087,179960.72649150915,0.0
PO100181,P006,6,202303,202305,Closed,6319784.753349093,6442557.2560556,6124774.670249554,0.0
PO100182,P006,8,202401,202403,Closed,7075254.393231806,6535077.561089172,5724556.177318432,0.0
PO100183,P006,3,202312,202403,Closed,14581635.92361747,14005697.836834125,12727665.35155574,0.058910847803495245
PO100184,P006,1,202309,202310,Closed,3313789.7743796455,3005943.5572704454,2139549.232496568,0.0
PO100185,P006,12,202309,202401,Open,1639957.1781179425,52581.596380501425,23545.41262891595,0.0
PO100186,P006,7,202305,202308,Closed,8056418.4030407015,7852063.916952374,6942275.903425493,0.0
PO100187,P006,13,202311,202403,Partially Invoiced,4408759.397489916,1163962.9516405305,1096388.0205237444,0.07866707625953745
PO100188,P053,10,202407,202408,Open,15577677.131705107,610125.824790468,218138.6517666848,0.0
PO100189,P053,2,202301,202303,Closed,6675089.553737658,6756829.847268651,6112938.286475172,0.0
PO100190,P053,14,202309,202311,Closed,6899963.049093744,6900937.702216914,5958035.3152733985,0.04812809224592228
PO100191,P053,2,202302,202306,Closed,1048917.8848843102,978525.9650448218,950984.5662534456,0.06788803676033887
PO100192,P053,14,202310,202311,Closed,2444973.2342168624,2423645.6606290466,1726031.3479923378,0.05005674630262427
PO100193,P053,4,202309,202311,Open,4490657.686907811,478161.65193508606,46766.646510931234,0.06354779290108906
PO100194,P053,8,202409,202410,Partially Invoiced,1476459.4447523092,426822.2712654795,384292.8976111,0.0
PO100195,P053,4,202401,202404,Partially Invoiced,4812770.958334345,1363139.062864023,961286.4944002623,0.0
PO100196,P053,3,202301,202302,Partially Invoiced,12917907.659710173,5784431.077088019,4075904.1693967106,0.045498387139044874
PO100197,P053,7,202412,202501,Open,6393580.172122375,1066802.578005761,219064.8077264072,0.0
PO100198,P053,5,202409,202409,Closed,26432074.938615657,26797838.857100997,25355301.330311045,0.0
PO100199,P053,1,202406,202408,Closed,2803647.240713997,2847129.2655704864,2062485.3802108737,0.0
PO100200,P053,4,202307,202311,Open,915542.6827844747,81667.15349949947,29140.23246986626,0.04412447391891949
PO100201,P044,7,202311,202401,Partially Invoiced,3427848.919486943,926131.6034859447,831913.0914104392,0.0
PO100202,P044,14,202307,202311,Closed,2180045.3092226353,2116955.444979678,1589413.717102238,0.05723394707160387
PO100203,P044,3,202311,202402,Partially Invoiced,8586932.362322591,3577950.385584919,3110879.672132901,0.04436833724569186
PO100204,P044,6,202311,202312,Partially Invoiced,12080205.934005866,4463426.523576811,3601492.778446445,0.0
PO100205,P044,5,202302,202304,Partially Invoiced,7785089.509192644,4515424.890383923,3477411.23843809,0.0
PO100206,P044,5,202302,202303,Closed,46777836.47442583,42327209.508797534,33118531.975991692,0.0
PO100207,P044,12,202302,202305,Closed,7193730.732848022,7180232.200491174,5297910.421099683,0.0
PO100208,P044,14,202303,202305,Closed,6430884.62707553,6327143.271294865,5976404.350216641,0.0
PO100209,P044,9,202312,202403,Closed,18262287.283790108,17944180.571932707,17517656.73678859,0.0
PO100210,P044,5,202303,202306,Open,9752172.753375001,677408.7033411352,279409.0773144103,0.0
PO100211,P044,3,202402,202404,Closed,10470834.65088673,10143207.46274978,7183259.7465952495,0.0
PO100212,P044,5,202303,202304,Partially Invoiced,16307759.245993402,8675500.71707011,6610325.1847292185,0.0
PO100213,P052,8,202504,202508,Partially Invoiced,1936532.4708451203,977526.751099474,881446.7997111302,0.0
PO100214,P052,10,202305,202308,Partially Invoiced,1636771.005547697,1339729.5201812994,1329504.9998178391,0.0
PO100215,P052,13,202512,202602,Open,21859124.556421466,1948698.2201340052,390226.53769611113,0.0
PO100216,P052,12,202312,202402,Partially Invoiced,3733710.684342997,2678703.0418331297,2416937.5602519647,0.0
PO100217,P052,2,202304,202308,Partially Invoiced,4497828.806500903,1721765.3683713197,1710800.6554264,0.049762571815327956
PO100218,P052,4,202505,202507,Partially Invoiced,6059124.728280205,1905887.5615724095,1606917.3819532052,0.06169885229075769
PO100219,P052,14,202402,202402,Closed,6204255.460897773,5767577.09417085,5243795.48347873,0.0
PO100220,P052,4,202407,202407,Closed,2968221.7929080264,2713251.1795106987,2363435.300336046,0.0
PO100221,P052,14,202506,202509,Partially Invoiced,1989544.275702891,1436439.68430076,1402020.8135045457,0.0
PO100222,P052,2,202412,202501,Open,3813589.92725532,185850.2205649033,66884.30932676664,0.035219279467428644
PO100223,P052,8,202305,202305,Partially Invoiced,4401545.440221025,2516683.9911271045,2350488.303952154,0.0
PO100224,P052,9,202303,202307,Closed,9000559.155525522,8922265.95947383,7882835.979820858,0.0
PO100225,P052,10,202311,202403,Closed,2598187.073972161,2636667.029550648,2363517.209433149,0.0
PO100226,P052,13,202406,202406,Partially Invoiced,3658039.9627018487,1642304.0118751433,1149674.2524799365,0.0
PO100227,P052,2,202503,202503,Open,3356068.188505388,583520.8253760732,151163.10112123567,0.05643336434564754
PO100228,P023,4,202402,202405,Partially Invoiced,8887396.763944041,4580602.553597253,3532593.158779204,0.0
PO100229,P023,8,202405,202405,Closed,10107908.53507797,9619456.579804193,8440631.927790577,0.0
PO100230,P023,5,202308,202309,Closed,10651456.974943325,9702899.064801784,9470004.39864465,0.0
PO100231,P023,5,202304,202307,Partially Invoiced,8771044.046584016,2347432.7931767856,2148391.1265590484,0.0
PO100232,P023,1,202311,202403,Closed,12417400.761281032,11502396.317555076,10287773.741626626,0.0
PO100233,P023,14,202303,202307,Partially Invoiced,11029179.266570412,7225404.5009093555,6015322.304574031,0.0
PO100234,P023,4,202403,202406,Closed,3339170.4721429935,3146954.1524759596,2954522.6502051246,0.0
PO100235,P023,4,202405,202407,Open,1448541.778961628,152591.73977520724,35541.87162497852,0.0
PO100236,P023,10,202308,202308,Partially Invoiced,10118305.658759037,8436021.389975507,6606853.841305469,0.0
PO100237,P023,1,202404,202405,Closed,7106238.539810651,7082589.694993299,5216819.810894758,0.0
PO100238,P023,10,202307,202311,Closed,685308.9082819293,678092.7091712377,660063.3743371714,0.0
PO100239,P023,7,202303,202305,Partially Invoiced,1136916.954977004,598986.5922213665,451848.3404014958,0.0
PO100240,P023,4,202402,202406,Closed,1659691.0434371496,1576246.3608765618,1394167.7879585903,0.0
PO100241,P023,13,202309,202309,Partially Invoiced,4954418.427353927,2672792.170212318,2069656.5668791619,0.05921840831132512
PO100242,P023,12,202304,202305,Closed,1509304.366748173,1385128.3910382343,1030891.6251386435,0.0
PO100243,P023,14,202305,202305,Open,9591502.575254105,1637166.7997675983,554252.5170914772,0.06554785244226323
PO100244,P023,10,202310,202311,Partially Invoiced,3361569.7182743796,2324753.665975929,1731457.1509596372,0.0
PO100245,P023,10,202304,202308,Closed,21389651.54165099,19490372.90736603,15782677.141052714,0.0
PO100246,P062,4,202305,202307,Partially Invoiced,12039012.769913798,4628341.921184229,3423021.5267579956,0.07468531346748035
PO100247,P062,10,202404,202408,Partially Invoiced,27727330.592369195,9983191.889658645,8707809.562253665,0.0
PO100248,P062,1,202304,202306,Open,56330924.47894005,11366897.188259514,245033.63981542972,0.0
PO100249,P062,12,202308,202312,Partially Invoiced,39002135.76102684,18377221.152713455,15051734.932867689,0.0
PO100250,P062,3,202305,202309,Partially Invoiced,1242019.8751270662,791672.337480326,656396.5731442517,0.061549027311429264
PO100251,P062,13,202404,202405,Partially Invoiced,10343209.703979304,6632911.77478039,6108617.42708727,0.04792623611370601
PO100252,P062,2,202402,202406,Open,9867048.157802537,774131.6689087742,47759.762895654174,0.058237297190117235
PO100253,P062,12,202310,202402,Closed,5675368.934634417,5459214.840505676,5047525.706171444,0.0
PO100254,P062,6,202304,202304,Partially Invoiced,2441298.878350891,1427316.5901724906,1124468.0660316702,0.0
PO100255,P062,9,202308,202312,Closed,6262804.4226621995,5987438.559832396,5339718.59962937,0.0
PO100256,P062,9,202308,202312,Partially Invoiced,26792846.481283862,20061054.170467995,18691733.125024065,0.0
PO100257,P062,3,202308,202311,Open,9899623.610798115,2290725.0291947955,825522.5826311338,0.0
PO100258,P062,8,202402,202402,Open,4550927.02031731,495718.3424761548,81129.63228981389,0.0
PO100259,P062,9,202402,202404,Open,3086846.019872846,99214.34948876222,6768.672392316619,0.0
PO100260,P062,2,202312,202312,Partially Invoiced,17377004.45134963,4369583.7935088705,3543996.050520993,0.0
PO100261,P062,2,202304,202307,Closed,5920807.83343708,6006546.80695325,5977070.18546139,0.0
PO100262,P030,1,202411,202503,Partially Invoiced,21362135.193857048,12484830.509287575,10446566.429610837,0.0
PO100263,P030,6,202401,202403,Closed,4915084.773547918,4907694.24733834,4589522.367720051,0.0
PO100264,P030,3,202403,202405,Open,8327465.808395199,52074.7028873186,1758.7802852812245,0.0579163206970081
PO100265,P030,10,202306,202306,Closed,946299.9969430882,911932.7505381504,693142.9224257317,0.0
PO100266,P030,5,202407,202410,Partially Invoiced,61945349.576245904,20162784.42329542,17433320.28550658,0.0
PO100267,P030,2,202312,202404,Closed,9350200.20389448,8558120.44094824,7792764.046732471,0.0
PO100268,P030,3,202412,202503,Closed,9330566.34573074,8651621.184337886,6373039.731388377,0.07298961189499364
PO100269,P030,8,202407,202411,Partially Invoiced,14950948.448955681,6229295.431469586,5302812.493458427,0.0
